case,pop_size,dev_period,sep,alpha,gamma_g,gamma_b,gamma_c,sig,criteria,s1,s2,s3,s4,s5,s6,s7,s8,para_set,rep
1,10000,25,1,0.2,0.1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,1,1000
2,10000,25,1,0.2,0.01,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,2,1000
3,10000,25,1,0.2,0.025,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,3,1000
4,10000,25,1,0.2,0.25,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,4,1000
5,10000,25,1,0.2,1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,5,1000
6,10000,25,1,0.2,0.1,0.01,0.1,5,0.95,0,0,1,1,2,2,-2,-2,6,1000
7,10000,25,1,0.2,0.1,0.025,0.1,5,0.95,0,0,1,1,2,2,-2,-2,7,1000
8,10000,25,1,0.2,0.1,0.25,0.1,5,0.95,0,0,1,1,2,2,-2,-2,8,1000
9,10000,25,1,0.2,0.1,1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,9,1000
10,10000,25,1,0.2,0.1,0.1,0.01,5,0.95,0,0,1,1,2,2,-2,-2,10,1000
11,10000,25,1,0.2,0.1,0.1,0.025,5,0.95,0,0,1,1,2,2,-2,-2,11,1000
12,10000,25,1,0.2,0.1,0.1,0.25,5,0.95,0,0,1,1,2,2,-2,-2,12,1000
13,10000,25,1,0.2,0.1,0.1,1,5,0.95,0,0,1,1,2,2,-2,-2,13,1000
14,10000,25,100,0.2,0.1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,14,1000
15,10000,25,100,0.2,0.01,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,15,1000
16,10000,25,100,0.2,0.025,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,16,1000
17,10000,25,100,0.2,0.25,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,17,1000
18,10000,25,100,0.2,1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,18,1000
19,10000,25,100,0.2,0.1,0.01,0.1,5,0.95,0,0,1,1,2,2,-2,-2,19,1000
20,10000,25,100,0.2,0.1,0.025,0.1,5,0.95,0,0,1,1,2,2,-2,-2,20,1000
21,10000,25,100,0.2,0.1,0.25,0.1,5,0.95,0,0,1,1,2,2,-2,-2,21,1000
22,10000,25,100,0.2,0.1,1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,22,1000
23,10000,25,100,0.2,0.1,0.1,0.01,5,0.95,0,0,1,1,2,2,-2,-2,23,1000
24,10000,25,100,0.2,0.1,0.1,0.025,5,0.95,0,0,1,1,2,2,-2,-2,24,1000
25,10000,25,100,0.2,0.1,0.1,0.25,5,0.95,0,0,1,1,2,2,-2,-2,25,1000
26,10000,25,100,0.2,0.1,0.1,1,5,0.95,0,0,1,1,2,2,-2,-2,26,1000
27,10000,25,10000,0.2,0.1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,27,1000
28,10000,25,10000,0.2,0.01,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,28,1000
29,10000,25,10000,0.2,0.025,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,29,1000
30,10000,25,10000,0.2,0.25,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,30,1000
31,10000,25,10000,0.2,1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,31,1000
32,10000,25,10000,0.2,0.1,0.01,0.1,5,0.95,0,0,1,1,2,2,-2,-2,32,1000
33,10000,25,10000,0.2,0.1,0.025,0.1,5,0.95,0,0,1,1,2,2,-2,-2,33,1000
34,10000,25,10000,0.2,0.1,0.25,0.1,5,0.95,0,0,1,1,2,2,-2,-2,34,1000
35,10000,25,10000,0.2,0.1,1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,35,1000
36,10000,25,10000,0.2,0.1,0.1,0.01,5,0.95,0,0,1,1,2,2,-2,-2,36,1000
37,10000,25,10000,0.2,0.1,0.1,0.025,5,0.95,0,0,1,1,2,2,-2,-2,37,1000
38,10000,25,10000,0.2,0.1,0.1,0.25,5,0.95,0,0,1,1,2,2,-2,-2,38,1000
39,10000,25,10000,0.2,0.1,0.1,1,5,0.95,0,0,1,1,2,2,-2,-2,39,1000
40,10000,25,1000000,0.2,0.1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,40,1000
41,10000,25,1000000,0.2,0.01,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,41,1000
42,10000,25,1000000,0.2,0.025,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,42,1000
43,10000,25,1000000,0.2,0.25,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,43,1000
44,10000,25,1000000,0.2,1,0.1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,44,1000
45,10000,25,1000000,0.2,0.1,0.01,0.1,5,0.95,0,0,1,1,2,2,-2,-2,45,1000
46,10000,25,1000000,0.2,0.1,0.025,0.1,5,0.95,0,0,1,1,2,2,-2,-2,46,1000
47,10000,25,1000000,0.2,0.1,0.25,0.1,5,0.95,0,0,1,1,2,2,-2,-2,47,1000
48,10000,25,1000000,0.2,0.1,1,0.1,5,0.95,0,0,1,1,2,2,-2,-2,48,1000
49,10000,25,1000000,0.2,0.1,0.1,0.01,5,0.95,0,0,1,1,2,2,-2,-2,49,1000
50,10000,25,1000000,0.2,0.1,0.1,0.025,5,0.95,0,0,1,1,2,2,-2,-2,50,1000
51,10000,25,1000000,0.2,0.1,0.1,0.25,5,0.95,0,0,1,1,2,2,-2,-2,51,1000
52,10000,25,1000000,0.2,0.1,0.1,1,5,0.95,0,0,1,1,2,2,-2,-2,52,1000